club,league,total_spend,total_income,net_spend
Manchester United,GB1,2383150000.0,758520000.0,1624630000.0
Chelsea FC,GB1,3005150000.0,1384480000.0,1620670000.0
Manchester City,GB1,2478430000.0,981300000.0,1497130000.0
Paris Saint-Germain,FR1,2041520000.0,698100000.0,1343420000.0
Arsenal FC,GB1,1750580000.0,438430000.0,1312150000.0
Tottenham Hotspur,GB1,1616880000.0,601650000.0,1015230000.0
Liverpool FC,GB1,1853955000.0,882600000.0,971355000.0
Real Madrid,ES1,1517150000.0,832950000.0,684200000.0
FC Barcelona,ES1,1695810000.0,1067100000.0,628710000.0
West Ham United,GB1,1148985000.0,540860000.0,608125000.0
Newcastle United,GB1,1181010000.0,596140000.0,584870000.0
AC Milan,IT1,1195020000.0,620910000.0,574110000.0
Juventus FC,IT1,1678900000.0,1111870000.0,567030000.0
SSC Napoli,IT1,1191500000.0,694990000.0,496510000.0
Bayern Munich,L1,1187850000.0,700120000.0,487730000.0
Everton FC,GB1,969295000.0,603680000.0,365615000.0
Nottingham Forest,GB1,718494000.0,378260000.0,340234000.0
Aston Villa,GB1,980150000.0,642385000.0,337765000.0
Atlético de Madrid,ES1,1372795000.0,1057125000.0,315670000.0
Inter Milan,IT1,1078755000.0,799820000.0,278935000.0
Crystal Palace,GB1,603650000.0,342200000.0,261450000.0
Como 1907,IT1,238560000.0,13355000.0,225205000.0
AFC Bournemouth,GB1,776100000.0,556040000.0,220060000.0
Fulham FC,GB1,430970000.0,212050000.0,218920000.0
Brighton & Hove Albion,GB1,808160000.0,595385000.0,212775000.0
Wolverhampton Wanderers,GB1,908186000.0,716680000.0,191506000.0
Burnley FC,GB1,513095000.0,322310000.0,190785000.0
Olympique Marseille,FR1,733400000.0,559180000.0,174220000.0
VfL Wolfsburg,L1,572880000.0,402550000.0,170330000.0
RB Leipzig,L1,1063850000.0,923670000.0,140180000.0
Associazione Sportiva Roma,IT1,983620000.0,846890000.0,136730000.0
Sunderland AFC,GB1,296723000.0,162735000.0,133988000.0
Leeds United,GB1,501505000.0,382750000.0,118755000.0
Leicester City,GB1,721950000.0,620570000.0,101380000.0
Parma Calcio 1913,IT1,232813000.0,133680000.0,99133000.0
RC Strasbourg Alsace,FR1,290050000.0,201600000.0,88450000.0
Ipswich Town,GB1,193757000.0,122510000.0,71247000.0
Brentford FC,GB1,439800000.0,371345000.0,68455000.0
Sheffield United,GB1,219840000.0,154190000.0,65650000.0
Società Sportiva Lazio S.p.A.,IT1,418825000.0,355240000.0,63585000.0
Paris FC,FR1,78560000.0,19600000.0,58960000.0
OGC Nice,FR1,381710000.0,324200000.0,57510000.0
AC Monza,IT1,114305000.0,59500000.0,54805000.0
Pisa Sporting Club,IT1,64402000.0,13700000.0,50702000.0
Cagliari Calcio,IT1,214320000.0,164611000.0,49709000.0
West Bromwich Albion,GB1,146190000.0,102440000.0,43750000.0
US Cremonese,IT1,48180000.0,9800000.0,38380000.0
Stoke City,GB1,150210000.0,112090000.0,38120000.0
Bayer 04 Leverkusen,L1,801805000.0,765630000.0,36175000.0
1.FC Union Berlin,L1,128268000.0,96400000.0,31868000.0
ACF Fiorentina,IT1,602515000.0,573400000.0,29115000.0
Cardiff City,GB1,51105000.0,26910000.0,24195000.0
Borussia Mönchengladbach,L1,307180000.0,284150000.0,23030000.0
Getafe CF,ES1,131560000.0,109490000.0,22070000.0
