league,club_id,club,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
ES1,131,FC Barcelona,38,28,4,6,70,20,50,88
ES1,418,Real Madrid,38,24,6,8,75,36,39,78
ES1,13,Atlético de Madrid,38,23,8,7,70,33,37,77
ES1,681,Real Sociedad,38,21,8,9,51,35,16,71
ES1,1050,Villarreal CF,38,19,7,12,59,40,19,64
ES1,150,Real Betis Balompié,38,17,9,12,46,41,5,60
ES1,331,CA Osasuna,38,15,8,15,37,42,-5,53
ES1,621,Athletic Bilbao,38,14,9,15,47,43,4,51
ES1,237,RCD Mallorca,38,14,8,16,37,43,-6,50
ES1,12321,Girona FC,38,13,10,15,58,55,3,49
ES1,368,Sevilla FC,38,13,10,15,47,54,-7,49
ES1,367,Rayo Vallecano,38,13,10,15,45,53,-8,49
ES1,940,Celta de Vigo,38,11,10,17,43,53,-10,43
ES1,1049,Valencia CF,38,11,9,18,42,45,-3,42
ES1,3709,Getafe CF,38,10,12,16,34,45,-11,42
ES1,2687,Cádiz CF,38,10,12,16,30,53,-23,42
ES1,3302,UD Almería,38,11,8,19,49,65,-16,41
ES1,366,Real Valladolid CF,38,11,7,20,33,63,-30,40
ES1,714,RCD Espanyol Barcelona,38,8,13,17,52,69,-17,37
ES1,1531,Elche CF,38,5,10,23,30,67,-37,25
FR1,583,Paris Saint-Germain,38,27,4,7,89,40,49,85
FR1,826,RC Lens,38,25,9,4,68,29,39,84
FR1,244,Olympique Marseille,38,22,7,9,67,40,27,73
FR1,273,Stade Rennais FC,38,21,5,12,69,39,30,68
FR1,1082,LOSC Lille,38,19,10,9,65,44,21,67
FR1,162,AS Monaco,38,19,8,11,70,58,12,65
FR1,1041,Olympique Lyon,38,18,8,12,65,47,18,62
FR1,3524,Clermont Foot 63,38,17,8,13,45,49,-4,59
FR1,417,OGC Nice,38,15,13,10,48,37,11,58
FR1,1158,FC Lorient,38,15,10,13,52,53,-1,55
FR1,1421,Stade Reims,38,12,15,11,45,45,0,51
FR1,969,Montpellier HSC,38,15,5,18,65,62,3,50
FR1,415,FC Toulouse,38,13,9,16,51,57,-6,48
FR1,3911,Stade Brestois 29,38,11,11,16,44,54,-10,44
FR1,667,RC Strasbourg Alsace,38,9,13,16,51,59,-8,40
FR1,995,FC Nantes,38,7,15,16,37,55,-18,36
FR1,290,AJ Auxerre,38,8,11,19,35,63,-28,35
FR1,1147,AC Ajaccio,38,7,5,26,23,74,-51,26
FR1,1095,ESTAC Troyes,38,4,12,22,45,81,-36,24
FR1,1420,Angers SCO,38,4,6,28,33,81,-48,18
GB1,281,Manchester City,38,28,5,5,94,33,61,89
GB1,11,Arsenal FC,38,26,6,6,88,43,45,84
GB1,985,Manchester United,38,23,6,9,58,43,15,75
GB1,762,Newcastle United,38,19,14,5,68,33,35,71
GB1,31,Liverpool FC,38,19,10,9,75,47,28,67
GB1,1237,Brighton & Hove Albion,38,18,8,12,72,53,19,62
GB1,405,Aston Villa,38,18,7,13,51,46,5,61
GB1,148,Tottenham Hotspur,38,18,6,14,70,63,7,60
GB1,1148,Brentford FC,38,15,14,9,58,46,12,59
GB1,931,Fulham FC,38,15,7,16,55,53,2,52
GB1,873,Crystal Palace,38,11,12,15,40,49,-9,45
GB1,631,Chelsea FC,38,11,11,16,38,47,-9,44
GB1,543,Wolverhampton Wanderers,38,11,8,19,31,58,-27,41
GB1,379,West Ham United,38,11,7,20,42,55,-13,40
GB1,989,AFC Bournemouth,38,11,6,21,37,71,-34,39
GB1,703,Nottingham Forest,38,9,11,18,38,68,-30,38
GB1,29,Everton FC,38,8,12,18,34,57,-23,36
GB1,1003,Leicester City,38,9,7,22,51,68,-17,34
GB1,399,Leeds United,38,7,10,21,48,78,-30,31
GB1,180,Southampton FC,38,6,7,25,36,73,-37,25
IT1,6195,SSC Napoli,38,28,6,4,77,28,49,90
IT1,398,Società Sportiva Lazio S.p.A.,38,22,8,8,60,30,30,74
IT1,46,Inter Milan,38,23,3,12,71,42,29,72
IT1,506,Juventus FC,38,22,6,10,56,33,23,72
IT1,5,AC Milan,38,20,10,8,64,43,21,70
IT1,800,Atalanta BC,38,19,7,12,66,48,18,64
IT1,12,Associazione Sportiva Roma,38,18,9,11,50,38,12,63
IT1,430,ACF Fiorentina,38,15,11,12,53,43,10,56
IT1,1025,Bologna Football Club 1909,38,14,12,12,53,49,4,54
IT1,416,Torino FC,38,14,11,13,42,41,1,53
IT1,2919,AC Monza,38,14,10,14,48,52,-4,52
IT1,410,Udinese Calcio,38,11,13,14,47,48,-1,46
IT1,6574,US Sassuolo,38,12,9,17,47,61,-14,45
IT1,749,FC Empoli,38,10,13,15,37,49,-12,43
IT1,380,US Salernitana 1919,38,9,15,14,48,62,-14,42
IT1,1005,US Lecce,38,8,12,18,33,46,-13,36
IT1,276,Hellas Verona,38,7,10,21,31,59,-28,31
IT1,3522,Spezia Calcio,38,6,13,19,31,62,-31,31
IT1,2239,US Cremonese,38,5,12,21,36,69,-33,27
IT1,1038,UC Sampdoria,38,3,10,25,24,71,-47,19
L1,27,Bayern Munich,34,21,8,5,92,38,54,71
L1,16,Borussia Dortmund,34,22,5,7,83,44,39,71
L1,23826,RB Leipzig,34,20,6,8,64,41,23,66
L1,89,1.FC Union Berlin,34,18,8,8,51,38,13,62
L1,60,SC Freiburg,34,17,8,9,51,44,7,59
L1,15,Bayer 04 Leverkusen,34,14,8,12,57,49,8,50
L1,24,Eintracht Frankfurt,34,13,11,10,58,52,6,50
L1,82,VfL Wolfsburg,34,13,10,11,57,48,9,49
L1,39,1.FSV Mainz 05,34,12,10,12,54,55,-1,46
L1,18,Borussia Mönchengladbach,34,11,10,13,52,55,-3,43
L1,3,1.FC Köln,34,10,12,12,49,54,-5,42
L1,533,TSG 1899 Hoffenheim,34,10,6,18,48,57,-9,36
L1,86,SV Werder Bremen,34,10,6,18,51,64,-13,36
L1,80,VfL Bochum,34,10,5,19,40,72,-32,35
L1,167,FC Augsburg,34,9,7,18,42,63,-21,34
