league,season,total_spend,num_transfers,num_paid_transfers,avg_paid_fee
IT1,99/00,0.0,1,0,
GB1,26/27,288100000.0,22,13,22161538.46153846
IT1,26/27,278250000.0,32,24,11593750.0
L1,26/27,158950000.0,44,24,6622916.666666667
ES1,26/27,106900000.0,16,9,11877777.777777778
FR1,26/27,52500000.0,9,6,8750000.0
GB1,25/26,4145400000.0,554,180,23030000.0
IT1,25/26,1356340000.0,574,158,8584430.379746836
L1,25/26,936125000.0,428,134,6986007.462686568
ES1,25/26,760670000.0,391,85,8949058.823529411
FR1,25/26,738210000.0,443,108,6835277.777777778
GB1,24/25,3008061000.0,571,181,16619121.546961326
IT1,24/25,1275265000.0,638,165,7728878.787878788
FR1,24/25,971730000.0,436,101,9621089.10891089
L1,24/25,839230000.0,389,113,7426814.159292036
ES1,24/25,626115000.0,388,83,7543554.21686747
GB1,23/24,3083715000.0,619,162,19035277.777777776
FR1,23/24,1179230000.0,471,134,8800223.880597016
IT1,23/24,1078870000.0,644,172,6272500.0
L1,23/24,865420000.0,385,110,7867454.545454546
ES1,23/24,580640000.0,428,91,6380659.340659341
GB1,22/23,3239982000.0,568,178,18202146.06741573
IT1,22/23,943640000.0,664,164,5753902.439024391
FR1,22/23,712890000.0,497,111,6422432.432432433
ES1,22/23,588470000.0,437,81,7265061.728395062
L1,22/23,567445000.0,357,110,5158590.909090909
GB1,21/22,1664719000.0,424,110,15133809.090909092
IT1,21/22,843882000.0,554,129,6541720.930232558
L1,21/22,516330000.0,340,94,5492872.340425532
FR1,21/22,469068000.0,345,71,6606591.549295775
ES1,21/22,389700000.0,358,56,6958928.571428572
GB1,20/21,1507405000.0,400,95,15867421.05263158
IT1,20/21,899332000.0,459,111,8102090.09009009
ES1,20/21,436610000.0,303,55,7938363.636363637
FR1,20/21,413640000.0,332,67,6173731.3432835825
L1,20/21,371200000.0,280,54,6874074.074074074
GB1,19/20,1776520000.0,402,110,16150181.818181818
ES1,19/20,1344380000.0,381,91,14773406.593406593
IT1,19/20,1328642000.0,487,119,11165058.823529411
L1,19/20,878170000.0,286,105,8363523.80952381
FR1,19/20,748100000.0,320,100,7481000.0
GB1,18/19,1518425000.0,377,106,14324764.150943397
IT1,18/19,979135000.0,406,104,9414759.615384616
ES1,18/19,852750000.0,356,87,9801724.137931034
FR1,18/19,648470000.0,280,75,8646266.666666666
L1,18/19,459690000.0,225,84,5472500.0
GB1,17/18,1968030000.0,361,120,16400250.0
IT1,17/18,725871000.0,351,93,7805064.516129033
ES1,17/18,715300000.0,244,62,11537096.774193548
FR1,17/18,587525000.0,240,65,9038846.153846154
L1,17/18,541670000.0,203,76,7127236.842105263
GB1,16/17,1337262000.0,302,108,12382055.555555556
L1,16/17,621638000.0,191,83,7489614.457831325
IT1,16/17,598761500.0,332,86,6962343.023255814
ES1,16/17,339360000.0,225,52,6526153.846153846
FR1,16/17,191730000.0,194,42,4565000.0
GB1,15/16,1069535000.0,269,102,10485637.25490196
IT1,15/16,440110000.0,313,66,6668333.333333333
ES1,15/16,324000000.0,197,41,7902439.024390244
FR1,15/16,234800000.0,181,35,6708571.428571428
L1,15/16,230648000.0,160,64,3603875.0
GB1,14/15,809068000.0,233,73,11083123.287671233
ES1,14/15,414803000.0,134,29,14303551.72413793
L1,14/15,180455000.0,153,49,3682755.102040816
IT1,14/15,177045000.0,257,46,3848804.347826087
FR1,14/15,62700000.0,114,22,2850000.0
GB1,13/14,443715000.0,188,50,8874300.0
FR1,13/14,294850000.0,114,25,11794000.0
IT1,13/14,247181000.0,195,55,4494200.0
L1,13/14,195620000.0,92,30,6520666.666666667
ES1,13/14,194075000.0,99,20,9703750.0
GB1,12/13,245595000.0,134,42,5847500.0
IT1,12/13,128355000.0,132,35,3667285.714285714
FR1,12/13,116650000.0,68,16,7290625.0
L1,12/13,111150000.0,85,29,3832758.620689655
ES1,12/13,66900000.0,77,13,5146153.846153846
GB1,11/12,180290000.0,138,24,7512083.333333333
ES1,11/12,151500000.0,45,14,10821428.57142857
IT1,11/12,139483000.0,108,23,6064478.260869565
L1,11/12,89455000.0,70,21,4259761.904761905
FR1,11/12,25100000.0,59,8,3137500.0
GB1,10/11,154135000.0,98,18,8563055.555555556
L1,10/11,57100000.0,44,13,4392307.692307692
IT1,10/11,55585000.0,78,18,3088055.5555555555
ES1,10/11,45000000.0,41,4,11250000.0
FR1,10/11,28000000.0,47,5,5600000.0
ES1,09/10,207800000.0,30,11,18890909.09090909
IT1,09/10,29650000.0,34,8,3706250.0
GB1,09/10,21450000.0,55,7,3064285.714285714
L1,09/10,20650000.0,29,6,3441666.6666666665
FR1,09/10,12000000.0,22,3,4000000.0
GB1,08/09,55370000.0,49,9,6152222.222222222
IT1,08/09,33300000.0,25,9,3700000.0
FR1,08/09,23500000.0,24,5,4700000.0
L1,08/09,5200000.0,15,4,1300000.0
ES1,08/09,1200000.0,14,1,1200000.0
ES1,07/08,77000000.0,17,7,11000000.0
GB1,07/08,47120000.0,35,6,7853333.333333333
L1,07/08,24300000.0,14,5,4860000.0
FR1,07/08,5300000.0,14,2,2650000.0
IT1,07/08,4500000.0,26,3,1500000.0
GB1,06/07,14100000.0,24,2,7050000.0
L1,06/07,12500000.0,4,2,6250000.0
IT1,06/07,8000000.0,14,2,4000000.0
ES1,06/07,4500000.0,3,3,1500000.0
FR1,06/07,1800000.0,5,2,900000.0
ES1,05/06,27000000.0,3,1,27000000.0
GB1,05/06,10675000.0,14,3,3558333.3333333335
L1,05/06,0.0,2,0,
IT1,05/06,0.0,2,0,
FR1,05/06,0.0,10,0,
GB1,04/05,8850000.0,5,3,2950000.0
L1,04/05,0.0,1,0,
IT1,04/05,0.0,3,0,
FR1,04/05,0.0,2,0,
ES1,04/05,0.0,10,0,
GB1,03/04,19000000.0,4,1,19000000.0
L1,03/04,0.0,1,0,
IT1,03/04,0.0,1,0,
FR1,03/04,0.0,1,0,
ES1,02/03,750000.0,1,1,750000.0
GB1,02/03,0.0,1,0,
FR1,01/02,0.0,1,0,
IT1,00/01,0.0,1,0,
ES1,00/01,0.0,1,0,
