age,pos,Matches Played,Avg Mins per Match,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season
26,DF,28,2184,5,1,5,3.1,3.1,46,92,0.21,0.04,47,32,47,64,884,75.2,18,31,83.9,33,0.45,0.15,1.9,0.16,54.5,0.0,5,19,2,90,18,0,0.0,0,0.0,0,0.0,0.0,9000000.0,Patrick van Aanholt,2017-2018
21,MF,4,139,0,0,0,0.1,0.1,7,3,0.0,0.0,4,4,1,0,29,65.9,0,6,66.7,2,0.0,0.0,0.65,0.0,25.0,0.0,0,3,0,0,6,0,0.0,0,0.0,0,0.0,0.0,700000.0,Rolando Aarons,2017-2018
21,MF,11,517,0,0,0,0.2,0.2,9,17,0.0,0.0,13,8,2,0,87,72.5,3,15,53.3,3,0.0,0.0,0.87,0.0,37.5,0.0,1,2,0,3,13,0,0.0,0,0.0,0,0.0,0.0,700000.0,Rolando Aarons,2017-2018
30,DF,17,1057,1,0,1,0.2,0.2,20,81,0.09,0.0,20,17,8,29,625,80.5,10,1,0.0,4,0.17,0.25,2.3,0.34,55.6,0.0,2,20,0,35,6,0,0.0,0,0.0,0,0.0,0.0,3000000.0,Ignazio Abate,2017-2018
27,DF,8,499,0,0,0,0.1,0.1,2,12,0.0,0.0,7,3,4,20,310,93.1,0,1,100.0,2,0.18,0.0,0.36,0.0,50.0,0.0,5,0,0,27,1,0,0.0,0,0.0,0,0.0,0.0,4000000.0,Aymen Abdennour,2017-2018
24,MF,19,1176,0,1,0,1.0,1.0,20,49,0.0,0.08,23,15,18,25,513,84.8,7,20,70.0,21,0.46,0.0,1.46,0.08,44.8,0.0,6,5,2,30,21,0,0.0,0,0.0,0,0.0,0.0,1750000.0,Mehdi Abeid,2017-2018
31,DF,27,2302,0,2,0,0.4,0.4,17,103,0.0,0.08,40,32,40,141,1088,82.4,7,10,80.0,7,0.04,0.0,0.78,0.08,65.0,0.0,15,14,1,139,5,0,0.0,0,0.0,0,0.0,0.0,5000000.0,David Abraham,2017-2018
19,FW,31,1726,5,1,5,6.8,6.8,19,20,0.26,0.05,10,8,1,11,206,65.6,12,47,57.4,42,0.68,0.12,2.19,0.1,40.2,0.0,1,7,0,12,51,0,0.0,0,0.0,0,0.0,0.0,10000000.0,Tammy Abraham,2017-2018
27,MF,12,850,0,0,0,0.2,0.2,8,38,0.0,0.0,35,32,19,20,248,77.3,3,5,80.0,5,0.0,0.0,1.48,0.21,50.0,0.0,5,17,0,23,19,0,0.0,0,0.0,0,0.0,0.0,2000000.0,Amir Abrashi,2017-2018
29,DF,38,3420,0,0,0,1.0,1.0,35,141,0.0,0.0,51,32,88,255,1391,84.3,10,23,73.9,15,0.05,0.0,0.79,0.0,72.0,0.0,21,21,1,299,9,0,0.0,0,0.0,0,0.0,0.0,10000000.0,Francesco Acerbi,2017-2018
