age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
23,FW,26,1864,15,5,14,13.1,12.3,137,57,0.72,0.24,18,13,1,3,499,72.3,30,176,36.9,77,1.83,0.18,3.81,0.48,12.5,25.0,0,13,2,2,40,0,0.0,0,0.0,0,0.0,0.0,180000000.0,Vinicius Júnior,2023-2024,45708505.36961955,180000000.0,-134291494.63038045,-74.60638590576691
23,FW,31,2552,27,5,20,29.2,22.9,35,26,0.95,0.18,6,3,2,16,295,76.0,29,30,40.0,113,1.76,0.18,2.08,0.39,48.1,66.7,1,10,0,15,19,0,0.0,0,0.0,0,0.0,0.0,180000000.0,Erling Haaland,2023-2024,59359410.826800644,180000000.0,-120640589.17319936,-67.0225495406663
27,FW,37,3198,15,8,12,13.9,11.6,87,136,0.42,0.23,31,19,12,21,1123,74.4,73,44,45.5,110,1.18,0.11,3.77,0.39,42.3,28.6,1,17,0,26,49,0,0.0,0,0.0,0,0.0,0.0,130000000.0,Antoine Griezmann,2018-2019,35713065.25973536,130000000.0,-94286934.74026464,-72.52841133866511
27,MF,19,975,2,2,2,1.4,1.4,50,109,0.18,0.18,22,15,3,2,635,76.1,36,27,70.4,31,1.11,0.06,6.92,0.55,35.3,33.3,1,12,1,7,13,0,0.0,0,0.0,0,0.0,0.0,130000000.0,Kevin De Bruyne,2018-2019,38876988.915208854,130000000.0,-91123011.08479115,-70.09462391137781
26,FW,38,3250,22,8,19,20.2,17.9,131,127,0.61,0.22,21,9,5,6,846,73.4,68,151,53.0,134,1.66,0.14,4.43,0.58,14.3,31.3,0,9,0,5,119,0,0.0,0,0.0,0,0.0,0.0,150000000.0,Mohamed Salah,2018-2019,70309308.1672412,150000000.0,-79690691.8327588,-53.12712788850587
20,MF,28,2315,19,6,18,11.1,10.3,85,196,0.74,0.23,42,34,21,17,1363,88.3,48,97,51.5,62,1.32,0.29,3.85,0.51,49.0,33.3,5,50,0,21,40,0,0.0,0,0.0,0,0.0,0.0,180000000.0,Jude Bellingham,2023-2024,107516631.92934324,180000000.0,-72483368.07065676,-40.268537817031536
23,FW,34,2818,29,5,26,26.3,22.2,165,128,0.93,0.16,10,4,5,6,1096,80.9,55,201,36.8,144,2.33,0.18,4.57,0.73,61.5,31.3,0,5,0,10,42,0,0.0,0,0.0,0,0.0,0.0,180000000.0,Kylian Mbappé,2022-2023,107696445.77008004,180000000.0,-72303554.22991996,-40.16864123884442
24,FW,33,2651,20,1,20,18.2,16.4,151,100,0.68,0.03,27,15,15,4,984,79.9,48,107,52.3,97,1.22,0.21,4.24,0.41,39.3,21.4,2,14,0,11,60,0,0.0,0,0.0,0,0.0,0.0,128000000.0,Raheem Sterling,2019-2020,56834792.0462634,128000000.0,-71165207.9537366,-55.59781871385672
26,FW,29,2587,18,2,16,12.5,10.9,46,76,0.63,0.07,18,12,6,30,380,65.4,27,55,50.9,79,1.22,0.2,2.12,0.28,39.1,23.5,7,10,0,38,32,0,0.0,0,0.0,0,0.0,0.0,120000000.0,Harry Kane,2019-2020,49694818.23600325,120000000.0,-70305181.76399675,-58.58765146999729
31,FW,34,2713,36,13,32,23.8,19.9,153,328,1.19,0.43,12,7,3,1,1504,77.7,89,224,59.8,165,2.72,0.19,8.06,1.19,41.2,5.9,0,10,0,1,78,0,0.0,0,0.0,0,0.0,0.0,150000000.0,Lionel Messi,2018-2019,81605242.4917459,150000000.0,-68394757.5082541,-45.59650500550273
