player_name,position,current_value,total_goals,total_assists,apps,goal_contrib_per_app
Erling Haaland,Attack,200000000,174,42,199,1.085
Kylian Mbappé,Attack,180000000,247,82,311,1.058
Zlatan Ibrahimović,Attack,2000000,164,59,219,1.018
Robert Lewandowski,Attack,7000000,365,81,451,0.989
Harry Kane,Attack,60000000,311,73,414,0.928
Sergio Agüero,Attack,15000000,161,45,241,0.855
Mohamed Salah,Attack,22000000,228,120,409,0.851
Carlos Tevez,Attack,300000,50,26,100,0.76
Gareth Bale,Attack,2000000,113,56,229,0.738
Pierre-Emerick Aubameyang,Attack,2500000,224,65,406,0.712
Michael Olise,Attack,150000000,41,61,148,0.689
Gonzalo Higuaín,Attack,1000000,146,32,266,0.669
Kevin De Bruyne,Midfield,8000000,100,160,391,0.665
Wissam Ben Yedder,Attack,8000000,198,65,398,0.661
Victor Boniface,Attack,5000000,22,13,53,0.66
Ciro Immobile,Attack,1800000,208,54,400,0.655
Lautaro Martínez,Attack,85000000,132,43,267,0.655
Deniz Undav,Attack,22000000,51,19,108,0.648
Domenico Berardi,Attack,7000000,130,88,340,0.641
Romelu Lukaku,Attack,6000000,206,73,440,0.634
Lamine Yamal,Attack,200000000,30,34,101,0.634
Andrej Kramaric,Attack,2500000,142,67,335,0.624
Artem Dovbyk,Attack,15000000,39,12,82,0.622
Max Kruse,Attack,500000,95,72,273,0.612
Luca Toni,Attack,1000000,56,18,122,0.607
Diego Costa,Attack,2000000,102,42,239,0.603
Francesco Totti,Attack,1000000,35,36,118,0.602
Wayne Rooney,Attack,2000000,64,40,173,0.601
Alexander Meier,Attack,300000,61,11,120,0.6
Cole Palmer,Midfield,100000000,47,22,115,0.6
Georges Mikautadze,Attack,30000000,38,16,90,0.6
Antonio Di Natale,Attack,1000000,56,15,121,0.587
Vinicius Junior,Attack,140000000,73,48,207,0.585
Miroslav Klose,Attack,1000000,42,23,112,0.58
Ousmane Dembélé,Attack,100000000,76,76,262,0.58
Ollie Watkins,Attack,25000000,91,37,221,0.579
Iago Aspas,Attack,1600000,169,72,417,0.578
Luis Díaz,Attack,70000000,44,34,135,0.578
Steven Gerrard,Midfield,1750000,32,25,99,0.576
Cheick Diabaté,Attack,300000,54,9,110,0.573
Serge Gnabry,Attack,18000000,100,57,274,0.573
Loïs Openda,Attack,25000000,55,20,131,0.573
Antoine Griezmann,Attack,8000000,169,91,455,0.571
Edin Dzeko,Attack,1000000,141,66,364,0.569
Estéban Lepaul,Attack,35000000,30,5,62,0.565
Paulo Dybala,Attack,5000000,131,77,370,0.562
Jamie Vardy,Attack,1000000,152,56,371,0.561
Khvicha Kvaratskhelia,Attack,140000000,40,31,127,0.559
Aritz Aduriz,Attack,800000,96,33,231,0.558
Yan Diomande,Attack,90000000,14,10,43,0.558
Mohamed Amoura,Attack,20000000,18,16,61,0.557
Ikechukwu Uche,Attack,100000,14,4,33,0.545
Paulinho,Attack,500000,15,4,35,0.543
Kevin Volland,Midfield,500000,108,89,363,0.543
Alejandro Grimaldo,Defender,20000000,20,31,94,0.543
Rubén Castro,Attack,100000,61,16,142,0.542
Franck Ribéry,Attack,1000000,48,70,218,0.541
Folarin Balogun,Attack,40000000,45,14,109,0.541
Jérémie Aliadière,Attack,500000,24,14,71,0.535
Raphinha,Attack,70000000,67,48,215,0.535
Giovani dos Santos,Attack,250000,17,15,60,0.533
Alexis Sánchez,Attack,1200000,126,84,395,0.532
Eden Hazard,Attack,5000000,89,70,299,0.532
David Villa,Attack,1000000,23,11,64,0.531
Szabolcs Huszti,Midfield,400000,22,21,81,0.531
Jonathan David,Attack,30000000,93,20,213,0.531
Said El Mala,Attack,45000000,13,5,34,0.529
Jamal Musiala,Midfield,100000000,48,33,154,0.526
Florian Wirtz,Midfield,100000000,40,51,173,0.526
Nicolas Jackson,Attack,40000000,44,16,114,0.526
Stefan Kießling,Attack,1000000,58,24,158,0.519
Jadon Sancho,Attack,18000000,52,67,230,0.517
Timo Werner,Attack,3500000,114,65,347,0.516
Zuriko Davitashvili,Attack,12000000,9,8,33,0.515
Josip Ilicic,Midfield,300000,78,49,247,0.514
Patrik Schick,Attack,18000000,106,22,249,0.514
Hugo Ekitiké,Attack,80000000,43,22,127,0.512
Marcus Thuram,Attack,50000000,86,52,271,0.509
Emmanuel Emegha,Attack,25000000,26,7,65,0.508
Dušan Vlahović,Attack,35000000,94,18,221,0.507
Duván Zapata,Attack,2500000,127,52,354,0.506
Lorenzo Insigne,Attack,8000000,96,74,336,0.506
Serhou Guirassy,Attack,32000000,112,11,243,0.506
Gabriel Jesus,Attack,17000000,79,44,243,0.506
Gerard Moreno,Attack,2500000,124,36,317,0.505
Tim Kleindienst,Attack,8000000,30,17,93,0.505
Ermedin Demirovic,Attack,22000000,58,36,186,0.505
Alexander Isak,Attack,85000000,90,16,210,0.505
Bukayo Saka,Attack,110000000,60,54,226,0.504
Darío Cvitanich,Attack,225000,27,3,60,0.5
Miku Fedor,Attack,100000,13,5,36,0.5
Francesco Caputo,Attack,1000000,68,29,194,0.5
Jarrod Bowen,Attack,30000000,65,54,238,0.5
Bradley Barcola,Attack,70000000,34,30,128,0.5
Igor Thiago,Attack,65000000,22,1,46,0.5
Rafael Leão,Attack,50000000,72,53,251,0.498
Omar Marmoush,Attack,50000000,45,27,145,0.497
Mason Greenwood,Attack,55000000,67,23,182,0.495
Maximilian Beier,Attack,40000000,33,18,103,0.495
Bruno Fernandes,Midfield,35000000,86,86,349,0.493
