league,player_name,total_assists,total_goals,appearances
bundesliga,Thomas Müller,160,105,365
laliga,Lionel Messi,134,305,306
premier-league,Kevin De Bruyne,122,72,288
premier-league,Mohamed Salah,98,193,328
ligue-1,Dimitri Payet,95,73,297
bundesliga,Marco Reus,93,120,294
laliga,Antoine Griezmann,91,169,455
bundesliga,Julian Brandt,91,77,383
serie-a,Antonio Candreva,89,75,400
laliga,Karim Benzema,88,171,311
bundesliga,Joshua Kimmich,88,31,324
serie-a,Domenico Berardi,88,130,340
premier-league,Raheem Sterling,86,123,393
premier-league,Christian Eriksen,83,55,310
laliga,Luis Suárez,82,176,258
premier-league,David Silva,80,50,238
premier-league,Heung-min Son,78,127,333
laliga,Dani Parejo,77,68,473
laliga,Koke,77,34,439
bundesliga,Vincenzo Grifo,77,73,306
serie-a,Paulo Dybala,77,131,370
ligue-1,Ángel Di María,76,57,197
serie-a,Lorenzo Insigne,74,96,336
ligue-1,Kylian Mbappé,74,191,246
bundesliga,Max Kruse,72,95,273
premier-league,Bruno Fernandes,72,71,230
laliga,Iago Aspas,71,169,403
serie-a,Papu Gómez,69,58,247
bundesliga,Filip Kostić,68,35,249
bundesliga,Andrej Kramaric,67,140,320
bundesliga,Kevin Volland,67,80,277
serie-a,Juan Cuadrado,67,41,361
serie-a,Dries Mertens,66,113,295
serie-a,Hakan Çalhanoğlu,66,59,285
serie-a,Luis Alberto,65,47,242
premier-league,Riyad Mahrez,65,82,284
premier-league,Trent Alexander-Arnold,65,18,259
serie-a,Miralem Pjanić,64,39,251
bundesliga,Jonas Hofmann,63,55,298
laliga,Luka Modrić,63,25,359
laliga,Ivan Rakitic,63,55,389
laliga,Toni Kroos,62,19,278
laliga,Cristiano Ronaldo,61,199,191
bundesliga,Robert Lewandowski,61,282,317
premier-league,Eden Hazard,61,85,245
serie-a,José Callejón,60,65,305
laliga,Jordi Alba,60,14,278
laliga,Isco,60,64,354
ligue-1,Adrien Thomasson,60,49,376
premier-league,Andrew Robertson,60,12,332
serie-a,Nicolò Barella,60,28,338
premier-league,Mesut Özil,59,33,184
laliga,Iñaki Williams,59,85,407
bundesliga,Lars Stindl,58,77,292
bundesliga,Franck Ribéry,57,43,144
ligue-1,Florian Thauvin,57,97,292
bundesliga,Serge Gnabry,56,99,263
laliga,Lucas Vázquez,56,29,310
premier-league,Roberto Firmino,55,82,256
serie-a,Giacomo Bonaventura,54,62,348
bundesliga,Christian Günter,54,13,370
serie-a,Piotr Zielinski,54,50,423
premier-league,Jarrod Bowen,54,65,238
laliga,Mikel Oyarzabal,54,100,349
bundesliga,Jadon Sancho,54,40,118
premier-league,Bukayo Saka,54,60,226
serie-a,Marek Hamsik,53,50,228
premier-league,Jamie Vardy,53,145,342
premier-league,Bernardo Silva,53,45,304
premier-league,Willian,52,47,327
bundesliga,Karim Bellarabi,52,36,231
serie-a,Duván Zapata,52,127,354
bundesliga,Thorgan Hazard,52,43,234
bundesliga,Leon Goretzka,52,54,327
premier-league,Marcus Rashford,52,89,297
serie-a,Ciro Immobile,51,201,356
serie-a,Federico Dimarco,51,28,240
serie-a,Rafael Leão,51,64,227
serie-a,Edin Dzeko,50,107,279
premier-league,Juan Mata,50,46,244
ligue-1,Neymar,50,82,112
premier-league,Harry Kane,50,213,320
serie-a,Felipe Anderson,50,45,251
premier-league,James Ward-Prowse,50,57,422
premier-league,James Maddison,50,56,225
premier-league,James Milner,49,30,358
bundesliga,Gonzalo Castro,49,26,218
bundesliga,Zlatko Junuzovic,49,21,173
laliga,Neymar,49,68,123
serie-a,Josip Ilicic,49,78,247
bundesliga,Maximilian Arnold,49,45,398
serie-a,Matteo Politano,49,55,363
ligue-1,Benjamin Bourigeaud,49,54,261
serie-a,Lorenzo Pellegrini,49,50,300
bundesliga,Daniel Caligiuri,48,45,308
premier-league,Jordan Henderson,48,28,355
premier-league,Pascal Groß,48,31,247
ligue-1,Wissam Ben Yedder,48,160,307
ligue-1,Jonathan Clauss,48,17,189
bundesliga,Leroy Sané,48,51,200
