league,player_name,total_goals,total_assists,appearances
laliga,Lionel Messi,305,134,306
bundesliga,Robert Lewandowski,282,61,317
premier-league,Harry Kane,213,50,320
serie-a,Ciro Immobile,201,51,356
laliga,Cristiano Ronaldo,199,61,191
premier-league,Mohamed Salah,193,98,328
ligue-1,Kylian Mbappé,191,74,246
laliga,Luis Suárez,176,82,258
laliga,Karim Benzema,171,88,311
laliga,Iago Aspas,169,71,403
laliga,Antoine Griezmann,169,91,455
premier-league,Sergio Agüero,161,45,241
ligue-1,Wissam Ben Yedder,160,48,307
ligue-1,Alexandre Lacazette,155,38,258
premier-league,Jamie Vardy,145,53,342
bundesliga,Andrej Kramaric,140,67,320
ligue-1,Edinson Cavani,138,30,200
serie-a,Lautaro Martínez,132,43,267
serie-a,Paulo Dybala,131,77,370
serie-a,Domenico Berardi,130,88,340
serie-a,Duván Zapata,127,52,354
premier-league,Heung-min Son,127,78,333
serie-a,Gonzalo Higuaín,125,27,224
laliga,Gerard Moreno,124,36,317
premier-league,Raheem Sterling,123,86,393
serie-a,Mauro Icardi,121,31,219
premier-league,Romelu Lukaku,121,42,270
bundesliga,Marco Reus,120,93,294
serie-a,Fabio Quagliarella,117,32,336
serie-a,Andrea Belotti,116,32,356
ligue-1,Zlatan Ibrahimović,113,44,122
serie-a,Dries Mertens,113,66,295
premier-league,Erling Haaland,112,23,132
premier-league,Sadio Mané,111,47,263
serie-a,Edin Dzeko,107,50,279
bundesliga,Thomas Müller,105,160,365
bundesliga,Timo Werner,102,46,260
laliga,Mikel Oyarzabal,100,54,349
laliga,Cristhian Stuani,99,14,284
bundesliga,Serge Gnabry,99,56,263
bundesliga,Pierre-Emerick Aubameyang,98,22,144
bundesliga,Harry Kane,98,23,94
ligue-1,Florian Thauvin,97,57,292
laliga,Aritz Aduriz,96,33,231
serie-a,Luis Muriel,96,45,299
serie-a,Lorenzo Insigne,96,74,336
bundesliga,Max Kruse,95,72,273
laliga,Ante Budimir,95,12,232
premier-league,Callum Wilson,95,28,271
serie-a,Dušan Vlahović,94,18,221
premier-league,Chris Wood,92,11,275
premier-league,Ollie Watkins,91,37,221
premier-league,Olivier Giroud,90,32,255
bundesliga,Patrik Schick,90,16,171
premier-league,Marcus Rashford,89,52,297
ligue-1,Gaëtan Laborde,88,40,297
bundesliga,Nils Petersen,87,22,285
ligue-1,Jonathan David,87,16,178
premier-league,Christian Benteke,86,23,280
premier-league,Eden Hazard,85,61,245
bundesliga,Anthony Modeste,85,17,209
serie-a,Romelu Lukaku,85,31,170
ligue-1,Andy Delort,85,32,261
laliga,Iñaki Williams,85,59,407
serie-a,Giovanni Simeone,84,25,330
laliga,Robert Lewandowski,83,20,134
ligue-1,Neymar,82,50,112
laliga,Willian José,82,26,267
premier-league,Roberto Firmino,82,55,256
premier-league,Riyad Mahrez,82,65,284
serie-a,Cristiano Ronaldo,81,16,98
laliga,Gareth Bale,81,46,176
bundesliga,Serhou Guirassy,81,8,134
laliga,Borja Iglesias,81,15,252
bundesliga,Kevin Volland,80,67,277
laliga,Raúl García,79,33,357
premier-league,Gabriel Jesus,79,44,243
serie-a,Josip Ilicic,78,49,247
bundesliga,Lars Stindl,77,58,292
serie-a,Mattia Destro,77,14,273
bundesliga,Julian Brandt,77,91,383
laliga,José Luis Morales,77,34,332
serie-a,Antonio Candreva,75,89,400
ligue-1,Wahbi Khazri,75,39,319
serie-a,Riccardo Orsolini,75,31,280
premier-league,Richarlison,75,31,275
laliga,Kévin Gameiro,74,22,237
premier-league,Danny Welbeck,74,37,336
ligue-1,Dimitri Payet,73,95,297
bundesliga,Vincenzo Grifo,73,77,306
laliga,Vinicius Junior,73,48,207
premier-league,Kevin De Bruyne,72,122,288
laliga,Alexander Sørloth,72,11,171
serie-a,Stephan El Shaarawy,71,41,320
laliga,Álvaro Morata,71,15,178
serie-a,João Pedro,71,20,217
premier-league,Bruno Fernandes,71,72,230
premier-league,Dominic Calvert-Lewin,71,21,274
bundesliga,Vedad Ibisevic,70,28,213
premier-league,Pierre-Emerick Aubameyang,69,16,143
