age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
24,FW,37,2779,21,3,19,13.9,12.3,85,123,0.68,0.1,55,33,18,17,757,78.9,42,59,47.5,86,1.42,0.22,3.53,0.58,45.1,58.1,3,26,0,20,23,0,0.0,0,0.0,0,0.0,0.0,25000000.0,Martin Terrier,2021-2022,60097623.47703638,25000000.0,35097623.47703638,140.39049390814552
28,MF,34,2997,8,4,7,9.9,9.1,224,279,0.24,0.12,88,51,19,5,1744,83.8,59,106,52.8,81,0.72,0.09,4.11,0.51,32.6,34.5,1,38,3,18,71,0,0.0,0,0.0,0,0.0,0.0,14000000.0,Rémy Cabella,2018-2019,43573199.09894494,14000000.0,29573199.09894494,211.2371364210353
25,MF,27,2166,6,10,6,4.3,4.2,90,149,0.25,0.42,12,9,9,13,1010,78.9,68,71,59.2,61,0.87,0.1,5.39,0.79,16.7,0.0,1,10,0,11,32,0,0.0,0,0.0,0,0.0,0.0,13000000.0,Adem Ljajić,2017-2018,39198189.06167821,13000000.0,26198189.06167821,201.5245312436785
23,MF,28,2126,7,4,7,3.1,3.1,41,182,0.3,0.17,39,24,23,30,1659,89.7,37,52,61.5,45,0.8,0.16,3.34,0.59,28.6,33.3,11,18,2,64,23,0,0.0,0,0.0,0,0.0,0.0,14000000.0,Vitinha,2023-2024,38884751.8721628,14000000.0,24884751.872162797,177.7482276583057
27,MF,35,2888,5,8,1,6.0,2.9,48,321,0.16,0.25,71,36,10,27,1684,76.1,88,38,50.0,48,0.62,0.02,4.8,0.69,33.3,40.4,4,23,2,43,12,0,0.0,0,0.0,0,0.0,0.0,12000000.0,Branco van den Boomen,2022-2023,33697668.73637372,12000000.0,21697668.736373723,180.81390613644768
21,MF,36,2083,6,8,6,8.1,8.1,95,90,0.26,0.35,16,11,8,6,562,75.4,35,81,53.1,61,1.21,0.1,3.76,0.69,42.4,21.7,3,10,1,9,23,0,0.0,0,0.0,0,0.0,0.0,17500000.0,Harvey Barnes,2019-2020,37876460.30298092,17500000.0,20376460.302980922,116.43691601703384
24,MF,34,2968,1,2,1,2.4,2.4,89,170,0.03,0.06,47,22,46,22,1365,87.6,20,92,69.6,37,0.33,0.03,1.94,0.24,37.8,32.8,5,28,2,39,32,0,0.0,0,0.0,0,0.0,0.0,5000000.0,Rominigue Kouamé,2021-2022,23935275.734190032,5000000.0,18935275.734190032,378.70551468380063
20,MF,32,2180,1,3,1,0.5,0.5,61,268,0.04,0.12,46,24,20,8,2065,89.7,47,25,52.0,13,0.17,0.08,3.63,0.29,31.6,35.8,2,8,0,18,14,0,0.0,0,0.0,0,0.0,0.0,15000000.0,Maxime Lopez,2018-2019,33304224.75852504,15000000.0,18304224.75852504,122.0281650568336
26,MF,37,3199,3,6,3,1.8,1.8,58,294,0.08,0.17,49,28,36,53,2567,87.5,57,24,62.5,39,0.34,0.08,3.63,0.59,42.5,51.9,17,28,3,149,15,0,0.0,0,0.0,0,0.0,0.0,25000000.0,Aleix García,2023-2024,43193680.0631759,25000000.0,18193680.0631759,72.7747202527036
26,DF,36,3240,3,6,3,3.8,3.8,104,259,0.08,0.17,79,50,35,64,2228,86.2,48,54,55.6,28,0.33,0.11,3.22,0.5,57.9,57.3,13,24,1,118,16,0,0.0,0,0.0,0,0.0,0.0,24000000.0,Giovanni Di Lorenzo,2020-2021,41742534.149377,24000000.0,17742534.149377003,73.92722562240418
22,FW,33,2016,15,4,14,17.1,15.5,44,24,0.67,0.18,12,4,2,13,307,73.3,30,43,62.8,88,1.65,0.16,2.86,0.36,49.5,28.6,2,13,0,15,41,0,0.0,0,0.0,0,0.0,0.0,27000000.0,Moussa Dembélé,2018-2019,44616018.43037538,27000000.0,17616018.430375382,65.24451270509401
21,FW,34,2572,7,8,3,9.0,5.8,116,109,0.24,0.28,30,21,19,17,908,74.5,54,83,51.8,64,0.73,0.05,3.74,0.52,35.3,0.0,4,26,0,16,86,0,0.0,0,0.0,0,0.0,0.0,8000000.0,Jonathan Bamba,2017-2018,25241943.562959656,8000000.0,17241943.562959656,215.52429453699568
22,FW,35,2477,6,2,5,7.5,6.7,89,66,0.22,0.07,33,18,15,3,553,77.9,41,92,47.8,84,1.31,0.06,3.6,0.29,34.4,36.7,2,25,0,8,52,0,0.0,0,0.0,0,0.0,0.0,7000000.0,Armand Lauriente,2021-2022,24099565.72158241,7000000.0,17099565.72158241,244.27951030832014
